"","Gene.ID","Gene.Name","absolute_change"
"1","ENSG00000210082.2","MT-RNR2",54818.00391
"2","ENSG00000274012.1","RN7SL2",54157.70313
"3","ENSG00000300202.1","ENSG00000300202",-51733.26172
"4","ENSG00000276168.1","RN7SL1",44197.01172
"5","ENSG00000100522.11","GNPNAT1",-43648.354438
"6","ENSG00000102317.19","RBM3",-37567.374429
"7","ENSG00000283293.1","RN7SK",16800.96289
"8","ENSG00000211459.2","MT-RNR1",16364.875877
"9","ENSG00000230290.2","ARMC2-AS1",-15594.00781
"10","ENSG00000302940.1","ENSG00000302940",-13011.39648
