"Gene.ID","log2.FC.","P.adj","Gene.type","change"
"ENSG00000288528",3.8884039,3.09280341450795e-29,"lncRNA","Upregulated"
"ENSG00000287377",1.939016363,6.6577105924615e-23,"lncRNA","Upregulated"
"ENSG00000251136",3.082233533,1.33544144672836e-22,"lncRNA","Upregulated"
"ENSG00000245248",-3.623266939,1.33544144672836e-22,"lncRNA","Downregulated"
"ENSG00000262160",-1.919206151,1.33544144672836e-22,"lncRNA","Downregulated"
"ENSG00000306839",-4.08140488,6.20862441172642e-22,"lncRNA","Downregulated"
"ENSG00000233138",3.413383713,5.67747385900378e-21,"lncRNA","Upregulated"
"ENSG00000286786",1.79682026,5.67747385900378e-21,"lncRNA","Upregulated"
"ENSG00000286256",3.339436456,6.77751563273524e-21,"lncRNA","Upregulated"
"ENSG00000204055",-3.243243983,7.85696596131931e-21,"lncRNA","Downregulated"
"ENSG00000293953",2.948294212,3.76782933139197e-20,"lncRNA","Upregulated"
"ENSG00000293088",4.95515983,5.3119380304358e-20,"lncRNA","Upregulated"
"ENSG00000247081",3.014771912,1.56094797381907e-19,"lncRNA","Upregulated"
"ENSG00000310246",2.43127608,2.12810501769439e-19,"lncRNA","Upregulated"
"ENSG00000254602",-3.216029212,5.20236035979054e-19,"lncRNA","Downregulated"
"ENSG00000259813",-2.457595623,5.43692339877e-19,"lncRNA","Downregulated"
"ENSG00000234699",-2.585350437,3.63485226673675e-18,"lncRNA","Downregulated"
"ENSG00000275944",4.568263314,6.33187551531972e-18,"lncRNA","Upregulated"
"ENSG00000254928",-2.448606741,7.8161470939732e-18,"lncRNA","Downregulated"
"ENSG00000309344",-2.490260457,1.25811371777976e-17,"lncRNA","Downregulated"
"ENSG00000267580",-3.532384455,2.36097132833644e-17,"lncRNA","Downregulated"
"ENSG00000245748",-1.729309164,3.55298972731443e-17,"lncRNA","Downregulated"
"ENSG00000260630",-4.186478285,4.4010735471705e-17,"lncRNA","Downregulated"
"ENSG00000232160",1.938462942,1.34138374373227e-16,"lncRNA","Upregulated"
"ENSG00000289526",3.190288766,1.50702253204344e-16,"lncRNA","Upregulated"
"ENSG00000235522",1.846406206,1.67908754488712e-16,"lncRNA","Upregulated"
"ENSG00000236939",2.633463858,4.02240516569618e-16,"lncRNA","Upregulated"
"ENSG00000269680",3.009773224,4.94433930755617e-16,"lncRNA","Upregulated"
"ENSG00000226312",2.455241531,5.0062628946422e-16,"lncRNA","Upregulated"
"ENSG00000267727",-3.270877191,2.59492469864361e-15,"lncRNA","Downregulated"
"ENSG00000255929",1.898097532,5.91334921911462e-15,"lncRNA","Upregulated"
"ENSG00000287629",-2.047277102,7.23209669447742e-15,"lncRNA","Downregulated"
"ENSG00000250602",3.340992763,7.23209669447742e-15,"lncRNA","Upregulated"
"ENSG00000286162",2.026460464,8.08233935905639e-15,"lncRNA","Upregulated"
"ENSG00000302079",2.716357978,1.06349125372035e-14,"lncRNA","Upregulated"
"ENSG00000300557",3.253669307,1.89690780579059e-14,"lncRNA","Upregulated"
"ENSG00000271133",4.089831032,4.80868774928364e-14,"lncRNA","Upregulated"
"ENSG00000287691",3.487203377,8.24255163870825e-14,"lncRNA","Upregulated"
"ENSG00000258826",-2.147998163,8.90635678638705e-14,"lncRNA","Downregulated"
"ENSG00000228863",1.956354975,8.99629380048777e-14,"lncRNA","Upregulated"
"ENSG00000261644",1.691971673,1.32008084183627e-13,"lncRNA","Upregulated"
"ENSG00000177369",-1.784415612,1.32008084183627e-13,"lncRNA","Downregulated"
"ENSG00000304360",2.528710559,3.58428373479924e-13,"lncRNA","Upregulated"
"ENSG00000259326",1.830488726,3.62678784658826e-13,"lncRNA","Upregulated"
"ENSG00000289130",2.277416092,5.38715416597113e-13,"lncRNA","Upregulated"
"ENSG00000298162",1.844003998,5.83405098021075e-13,"lncRNA","Upregulated"
"ENSG00000296151",2.283432987,5.83405098021075e-13,"lncRNA","Upregulated"
"ENSG00000260583",4.065500888,6.57689420590026e-13,"lncRNA","Upregulated"
"ENSG00000233554",2.164060793,8.56819406463957e-13,"lncRNA","Upregulated"
"ENSG00000306723",1.552245764,1.64026201183308e-12,"lncRNA","Upregulated"
"ENSG00000259342",1.509014928,1.73169645830383e-12,"lncRNA","Upregulated"
"ENSG00000266903",2.535766479,3.25477059600437e-12,"lncRNA","Upregulated"
