"Gene.ID","log2.FC.","P.adj","Gene.type","change"
"ENSG00000291237",2.298991088,1.53002702611468e-28,"mRNA","Upregulated"
"ENSG00000056558",4.145387009,2.98235978434449e-22,"mRNA","Upregulated"
"ENSG00000154814",1.896402458,6.80313007943399e-22,"mRNA","Upregulated"
"ENSG00000185215",3.426693516,2.60228569204884e-21,"mRNA","Upregulated"
"ENSG00000104432",2.965689123,7.72990534805552e-21,"mRNA","Upregulated"
"ENSG00000180992",2.703700234,7.979914406398e-19,"mRNA","Upregulated"
"ENSG00000168734",2.729898969,2.12381044892682e-18,"mRNA","Upregulated"
"ENSG00000112149",2.35649913,6.33187551531972e-18,"mRNA","Upregulated"
"ENSG00000151726",2.486639425,1.12243874706697e-17,"mRNA","Upregulated"
"ENSG00000162104",5.146200085,1.15473723796834e-17,"mRNA","Upregulated"
"ENSG00000211445",2.56738854,1.80163639389674e-17,"mRNA","Upregulated"
"ENSG00000122729",3.416318628,2.22171232708552e-16,"mRNA","Upregulated"
"ENSG00000125531",3.116681222,3.57550966868074e-16,"mRNA","Upregulated"
"ENSG00000115267",2.800074078,6.32599681594383e-16,"mRNA","Upregulated"
"ENSG00000109756",2.9801807,1.06349125372035e-14,"mRNA","Upregulated"
"ENSG00000153066",1.722148994,3.02277251895774e-14,"mRNA","Upregulated"
"ENSG00000115009",5.696475628,3.55060013576186e-14,"mRNA","Upregulated"
"ENSG00000163874",3.747041639,4.26233562348819e-14,"mRNA","Upregulated"
"ENSG00000100906",2.437913026,8.90635678638705e-14,"mRNA","Upregulated"
"ENSG00000197272",3.751464884,2.47002339359439e-13,"mRNA","Upregulated"
"ENSG00000166166",4.075027391,4.12933037830708e-13,"mRNA","Upregulated"
"ENSG00000107897",2.07676882,4.79428393467299e-13,"mRNA","Upregulated"
"ENSG00000163661",8.803447218,6.30236940616192e-13,"mRNA","Upregulated"
"ENSG00000107798",2.710131992,1.31138434500426e-12,"mRNA","Upregulated"
"ENSG00000023445",4.227938533,1.54555795426724e-12,"mRNA","Upregulated"
"ENSG00000003402",2.32322386,2.36019169417749e-12,"mRNA","Upregulated"
"ENSG00000122643",4.018524171,2.52242108759813e-12,"mRNA","Upregulated"
"ENSG00000105855",4.155835404,2.60362773523053e-12,"mRNA","Upregulated"
"ENSG00000176788",2.247251991,2.62251266684609e-12,"mRNA","Upregulated"
"ENSG00000158019",3.409197813,4.488016624653e-12,"mRNA","Upregulated"
"ENSG00000137393",3.361301578,7.60319309573609e-12,"mRNA","Upregulated"
"ENSG00000236383",1.667296022,7.60319309573609e-12,"mRNA","Upregulated"
"ENSG00000172349",2.486512483,1.73356529498326e-11,"mRNA","Upregulated"
"ENSG00000107020",3.226259182,2.56171526192957e-11,"mRNA","Upregulated"
"ENSG00000128284",3.041097134,3.5383681271915e-11,"mRNA","Upregulated"
"ENSG00000162783",3.350286145,3.63970610282586e-11,"mRNA","Upregulated"
"ENSG00000173757",2.29599108,4.01880507294949e-11,"mRNA","Upregulated"
"ENSG00000157014",2.18387387,6.04585025935212e-11,"mRNA","Upregulated"
"ENSG00000113845",2.8027106,9.71127331391628e-11,"mRNA","Upregulated"
"ENSG00000135114",4.396579783,1.14329538427479e-10,"mRNA","Upregulated"
"ENSG00000213024",1.33590004,2.0673345926146e-10,"mRNA","Upregulated"
"ENSG00000187260",2.328913433,2.90414487626763e-10,"mRNA","Upregulated"
"ENSG00000145901",2.70218568,3.84232582197452e-10,"mRNA","Upregulated"
"ENSG00000105835",2.881805153,5.76513516732673e-10,"mRNA","Upregulated"
"ENSG00000162927",2.387718302,6.52308722184847e-10,"mRNA","Upregulated"
"ENSG00000103067",-2.320858251,7.40164902666395e-10,"mRNA","Downregulated"
"ENSG00000124145",3.66627224,8.08675670710818e-10,"mRNA","Upregulated"
"ENSG00000133858",1.754620798,1.15584273656939e-09,"mRNA","Upregulated"
"ENSG00000172345",-2.075017054,1.28436446275484e-09,"mRNA","Downregulated"
"ENSG00000100242",1.952543026,1.33216689415197e-09,"mRNA","Upregulated"
"ENSG00000043143",3.014773028,1.36426918141765e-09,"mRNA","Upregulated"
"ENSG00000119917",3.762523633,1.87501542962772e-09,"mRNA","Upregulated"
"ENSG00000135837",1.86029368,2.15662938163307e-09,"mRNA","Upregulated"
"ENSG00000142621",3.307835833,2.5550445652119e-09,"mRNA","Upregulated"
"ENSG00000090339",2.585735847,3.48340658454616e-09,"mRNA","Upregulated"
"ENSG00000110330",2.800781782,4.70144987226452e-09,"mRNA","Upregulated"
"ENSG00000111335",2.8427844,4.76362668462823e-09,"mRNA","Upregulated"
"ENSG00000134326",3.240724493,5.65155696053968e-09,"mRNA","Upregulated"
"ENSG00000263528",3.142668774,7.20720607596573e-09,"mRNA","Upregulated"
"ENSG00000160294",1.937686059,9.47481195859823e-09,"mRNA","Upregulated"
"ENSG00000166750",2.600324213,1.21453493833079e-08,"mRNA","Upregulated"
"ENSG00000196839",2.322078961,1.22851779895973e-08,"mRNA","Upregulated"
"ENSG00000151466",-2.026858709,1.3118931682918e-08,"mRNA","Downregulated"
"ENSG00000029639",2.504339729,1.31481003196341e-08,"mRNA","Upregulated"
"ENSG00000038210",3.75473468,1.62583450011266e-08,"mRNA","Upregulated"
"ENSG00000197415",4.922491529,2.04327489136362e-08,"mRNA","Upregulated"
"ENSG00000138496",1.906259329,2.13751132421338e-08,"mRNA","Upregulated"
"ENSG00000119900",2.084979089,2.34416529247786e-08,"mRNA","Upregulated"
"ENSG00000150782",3.083408051,2.41821501118859e-08,"mRNA","Upregulated"
"ENSG00000181409",-1.983209446,3.26509294393658e-08,"mRNA","Downregulated"
"ENSG00000181634",4.163961098,3.66134645841129e-08,"mRNA","Upregulated"
"ENSG00000184557",3.11447985,4.10241672257056e-08,"mRNA","Upregulated"
"ENSG00000117091",2.53245163,4.68589630206036e-08,"mRNA","Upregulated"
"ENSG00000160752",1.787546702,5.28471237389913e-08,"mRNA","Upregulated"
"ENSG00000136810",2.037812821,5.96958697340546e-08,"mRNA","Upregulated"
"ENSG00000120217",2.199180345,6.08910178054368e-08,"mRNA","Upregulated"
"ENSG00000157654",2.813901889,6.58554147893559e-08,"mRNA","Upregulated"
"ENSG00000157601",3.416078952,6.72693381467984e-08,"mRNA","Upregulated"
"ENSG00000136158",-2.51255044,6.7957409141629e-08,"mRNA","Downregulated"
"ENSG00000104154",1.717207282,6.82824038001291e-08,"mRNA","Upregulated"
"ENSG00000074621",1.594403999,6.82824038001291e-08,"mRNA","Upregulated"
"ENSG00000138646",3.919850072,7.23055091143634e-08,"mRNA","Upregulated"
"ENSG00000167371",3.187021875,7.81084826763582e-08,"mRNA","Upregulated"
"ENSG00000104450",2.141907229,8.89753230350522e-08,"mRNA","Upregulated"
"ENSG00000172183",4.800700504,9.38775645781973e-08,"mRNA","Upregulated"
"ENSG00000086062",1.834489877,9.70906113020476e-08,"mRNA","Upregulated"
"ENSG00000083799",2.055289108,9.70906113020476e-08,"mRNA","Upregulated"
"ENSG00000162645",2.147779725,1.025697664748e-07,"mRNA","Upregulated"
"ENSG00000152229",2.468933409,1.05068214915268e-07,"mRNA","Upregulated"
"ENSG00000137965",3.36424977,1.12138155744118e-07,"mRNA","Upregulated"
"ENSG00000117228",3.303904719,1.39548103167449e-07,"mRNA","Upregulated"
"ENSG00000166833",3.874477579,1.50223125424393e-07,"mRNA","Upregulated"
"ENSG00000131979",3.598179954,1.70728173178574e-07,"mRNA","Upregulated"
"ENSG00000186141",2.042505203,1.82079036435224e-07,"mRNA","Upregulated"
"ENSG00000173193",1.924755376,1.98258761413565e-07,"mRNA","Upregulated"
"ENSG00000128918",0.997375457,2.55575754049375e-07,"mRNA","Upregulated"
"ENSG00000160325",2.280319726,2.62334013281323e-07,"mRNA","Upregulated"
"ENSG00000140379",2.085776095,2.63313728822878e-07,"mRNA","Upregulated"
"ENSG00000134108",2.166207027,2.96144299157765e-07,"mRNA","Upregulated"
"ENSG00000182541",-2.097097396,3.11248419406976e-07,"mRNA","Downregulated"
"ENSG00000175054",2.554331184,3.13272585093882e-07,"mRNA","Upregulated"
"ENSG00000133106",3.269658172,3.55035159845917e-07,"mRNA","Upregulated"
"ENSG00000170017",2.190264221,3.91001386088485e-07,"mRNA","Upregulated"
"ENSG00000265491",4.541725846,4.13337760759696e-07,"mRNA","Upregulated"
"ENSG00000160683",1.838008533,4.43408711197654e-07,"mRNA","Upregulated"
"ENSG00000079263",1.967799182,4.55135487110345e-07,"mRNA","Upregulated"
"ENSG00000205923",-1.750112183,4.55135487110345e-07,"mRNA","Downregulated"
"ENSG00000089041",2.419547174,4.63901614607417e-07,"mRNA","Upregulated"
"ENSG00000264324",1.193010333,4.92112877252313e-07,"mRNA","Upregulated"
"ENSG00000159173",3.454374414,4.92763789505207e-07,"mRNA","Upregulated"
"ENSG00000117226",3.097251604,5.00949091349115e-07,"mRNA","Upregulated"
"ENSG00000136754",1.518064234,5.0904527848685e-07,"mRNA","Upregulated"
"ENSG00000124882",4.393561,5.99103964171317e-07,"mRNA","Upregulated"
"ENSG00000110047",2.905104383,6.12276837482939e-07,"mRNA","Upregulated"
"ENSG00000179057",-2.664952638,6.17877146772017e-07,"mRNA","Downregulated"
"ENSG00000128335",1.833438919,6.18164125914752e-07,"mRNA","Upregulated"
"ENSG00000197329",3.586715989,6.20613949749462e-07,"mRNA","Upregulated"
"ENSG00000050730",3.900141253,6.20613949749462e-07,"mRNA","Upregulated"
"ENSG00000198604",1.480356798,7.09651410389476e-07,"mRNA","Upregulated"
"ENSG00000170581",2.010997874,7.2906748218939e-07,"mRNA","Upregulated"
"ENSG00000170525",2.900957273,8.03698630502335e-07,"mRNA","Upregulated"
"ENSG00000139266",1.637110226,9.18492660291489e-07,"mRNA","Upregulated"
"ENSG00000070367",1.790429692,9.28040870362239e-07,"mRNA","Upregulated"
"ENSG00000221963",1.797828625,9.28040870362239e-07,"mRNA","Upregulated"
"ENSG00000198053",1.855232977,1.05307766480455e-06,"mRNA","Upregulated"
"ENSG00000102794",4.133881324,1.05844552270598e-06,"mRNA","Upregulated"
"ENSG00000152778",1.952865354,1.0817522033346e-06,"mRNA","Upregulated"
"ENSG00000101017",2.798837203,1.09005581510573e-06,"mRNA","Upregulated"
"ENSG00000179165",3.612520954,1.15485072596285e-06,"mRNA","Upregulated"
"ENSG00000164823",2.11136823,1.15485072596285e-06,"mRNA","Upregulated"
"ENSG00000119630",-2.023904761,1.2913671356729e-06,"mRNA","Downregulated"
"ENSG00000077254",2.642385559,1.39299182417641e-06,"mRNA","Upregulated"
"ENSG00000111012",3.074344728,1.40218683558321e-06,"mRNA","Upregulated"
"ENSG00000013523",-0.939764988,1.40977795492881e-06,"mRNA","Downregulated"
"ENSG00000188396",1.670711996,1.61065295966343e-06,"mRNA","Upregulated"
"ENSG00000173349",-1.286668575,1.71999025833872e-06,"mRNA","Downregulated"
"ENSG00000145623",1.398308739,2.04590523664483e-06,"mRNA","Upregulated"
"ENSG00000115318",-1.081777094,2.09653528380386e-06,"mRNA","Downregulated"
"ENSG00000134330",1.490421279,2.66188506784214e-06,"mRNA","Upregulated"
"ENSG00000177409",2.40714906,2.93364940470096e-06,"mRNA","Upregulated"
"ENSG00000104312",2.585723162,2.96715949356909e-06,"mRNA","Upregulated"
"ENSG00000042980",2.745425169,3.0319525050343e-06,"mRNA","Upregulated"
"ENSG00000120539",1.367446689,3.0319525050343e-06,"mRNA","Upregulated"
"ENSG00000138378",3.239822995,3.12063935993379e-06,"mRNA","Upregulated"
"ENSG00000164808",1.685945384,3.20165047849108e-06,"mRNA","Upregulated"
"ENSG00000104946",1.929714448,3.24466772568073e-06,"mRNA","Upregulated"
"ENSG00000152484",2.579248623,3.68106489146617e-06,"mRNA","Upregulated"
"ENSG00000143322",1.901526666,3.80333285821681e-06,"mRNA","Upregulated"
"ENSG00000115008",3.448866338,3.82752203533927e-06,"mRNA","Upregulated"
"ENSG00000145779",1.906576705,3.82752203533927e-06,"mRNA","Upregulated"
"ENSG00000068366",1.644410201,3.85259320312914e-06,"mRNA","Upregulated"
"ENSG00000148926",3.387150588,4.01196732760611e-06,"mRNA","Upregulated"
"ENSG00000125733",4.892801239,4.11317038717978e-06,"mRNA","Upregulated"
"ENSG00000119138",2.19328573,4.21929367771252e-06,"mRNA","Upregulated"
"ENSG00000126561",1.798616707,4.21929367771252e-06,"mRNA","Upregulated"
"ENSG00000132386",-3.594786699,5.98606420547436e-06,"mRNA","Downregulated"
"ENSG00000198355",2.957776547,7.27489468862373e-06,"mRNA","Upregulated"
"ENSG00000122862",1.527786821,7.47111091743516e-06,"mRNA","Upregulated"
"ENSG00000280789",2.483420923,7.6154556550479e-06,"mRNA","Upregulated"
"ENSG00000026751",2.713378957,7.81297509140262e-06,"mRNA","Upregulated"
"ENSG00000163840",1.881353534,8.02779439299503e-06,"mRNA","Upregulated"
"ENSG00000173821",1.699571335,8.2971701206144e-06,"mRNA","Upregulated"
"ENSG00000108771",3.334933325,8.97479681604145e-06,"mRNA","Upregulated"
"ENSG00000144843",1.829063733,9.38058832590763e-06,"mRNA","Upregulated"
"ENSG00000158470",2.1928406,9.45595827830444e-06,"mRNA","Upregulated"
