"Gene.ID","log2.FC.","P.adj","Gene.type","change"
"ENSG00000163661",8.803447218,6.30236940616192e-13,"mRNA","Upregulated"
"ENSG00000186329",5.924769601,9.59505402272963e-05,"mRNA","Upregulated"
"ENSG00000078401",5.743717861,0.000211338,"mRNA","Upregulated"
"ENSG00000115009",5.696475628,3.55060013576186e-14,"mRNA","Upregulated"
"ENSG00000160285",5.589513535,0.001832492,"mRNA","Upregulated"
"ENSG00000166220",5.549916817,0.010508601,"mRNA","Upregulated"
"ENSG00000154380",-5.545974081,0.002666261,"mRNA","Downregulated"
"ENSG00000168062",5.312968473,0.004724258,"mRNA","Upregulated"
"ENSG00000288658",5.286004106,0.005941234,"mRNA","Upregulated"
"ENSG00000196247",5.198190102,0.002822929,"mRNA","Upregulated"
